ASU47554__KX774634.1,KX774634.1_Lone star tick nodavirus,2027377,Lone star tick nodavirus,Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;unclassified Nodaviridae,KX774634.1,undef,unclassified Nodaviridae,KX774634.1_Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;unclassified Nodaviridae,ASU47554,KX774634.1
AOC89548__KU705814.1,KU705814.1_Mouse grouper Nervous Necrosis Virus,1056516,Mouse grouper Nervous Necrosis Virus,Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Betanodavirus;unclassified Betanodavirus,KU705814.1,unclassified Betanodavirus,unclassified Betanodavirus,KU705814.1_Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Betanodavirus;unclassified Betanodavirus,AOC89548,KU705814.1
ASM94093__MF190050.1,MF190050.1_Barns Ness serrated wrack noda-like virus 2,2021921,Barns Ness serrated wrack noda-like virus 2,Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;unclassified Nodaviridae,MF190050.1,undef,unclassified Nodaviridae,MF190050.1_Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;unclassified Nodaviridae,ASM94093,MF190050.1
ASM94092__MF190049.1,MF190049.1_Barns Ness serrated wrack noda-like virus 1,2021920,Barns Ness serrated wrack noda-like virus 1,Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;unclassified Nodaviridae,MF190049.1,undef,unclassified Nodaviridae,MF190049.1_Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;unclassified Nodaviridae,ASM94092,MF190049.1
Q6XNL5__undef,undef_Macrobrachium rosenbergii nodavirus,222557,Macrobrachium rosenbergii nodavirus,Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;unclassified Nodaviridae,undef,undef,unclassified Nodaviridae,undef_Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;unclassified Nodaviridae,Q6XNL5,undef
Q992J0__undef,undef_Boolarra virus,12286,Boolarra virus,Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Alphanodavirus,undef,undef,Alphanodavirus,undef_Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Alphanodavirus,Q992J0,undef
Q96631__undef,undef_Black beetle virus,12285,Black beetle virus,Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Alphanodavirus,undef,undef,Alphanodavirus,undef_Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Alphanodavirus,Q96631,undef
Q9QAZ7__undef,undef_Striped Jack nervous necrosis virus,35297,Striped Jack nervous necrosis virus,Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Betanodavirus,undef,undef,Betanodavirus,undef_Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Betanodavirus,Q9QAZ7,undef
Q3KSM3__undef,undef_Pieris rapae virus,327392,Pieris rapae virus,Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;unclassified Nodaviridae,undef,undef,unclassified Nodaviridae,undef_Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;unclassified Nodaviridae,Q3KSM3,undef
Q9IMM3__undef,undef_Nodamura virus Mag115,914672,Nodamura virus Mag115,Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Alphanodavirus;Nodamura virus,undef,Nodamura virus,Nodamura virus,undef_Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Alphanodavirus;Nodamura virus,Q9IMM3,undef
Q992I9__undef,undef_Boolarra virus,12286,Boolarra virus,Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Alphanodavirus,undef,undef,Alphanodavirus,undef_Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Alphanodavirus,Q992I9,undef
Q9QAZ8__undef,undef_Striped Jack nervous necrosis virus,35297,Striped Jack nervous necrosis virus,Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Betanodavirus,undef,undef,Betanodavirus,undef_Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Betanodavirus,Q9QAZ8,undef
Q9IMM4__undef,undef_Nodamura virus Mag115,914672,Nodamura virus Mag115,Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Alphanodavirus;Nodamura virus,undef,Nodamura virus,Nodamura virus,undef_Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Alphanodavirus;Nodamura virus,Q9IMM4,undef
Q9J7Z2__undef,undef_Pariacoto virus,103782,Pariacoto virus,Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Alphanodavirus,undef,undef,Alphanodavirus,undef_Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Alphanodavirus,Q9J7Z2,undef
