ProteinAccession__GenomeAcc	GenomeAcc_ScientificName	TaxonomyID	ScientificName	Lineage	GenomeAccession	Genus	Species	GenomeAcc_Lineage	ProteinAccession	RepresentativeSequence	ClusterSequences
ACL98049__EU999951.1	EU999951.1_Morone saxatilis nervous necrosis virus	589912	Morone saxatilis nervous necrosis virus	Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;unclassified Nodaviridae	EU999951.1	undef	unclassified Nodaviridae	EU999951.1_Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;unclassified Nodaviridae	ACL98049	EU999951.1	ACL98049
ACN23842__FJ655182.1	FJ655182.1_Lates calcarifer nervous necrosis virus	596239	Lates calcarifer nervous necrosis virus	Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Betanodavirus;Redspotted grouper nervous necrosis virus	FJ655182.1	Redspotted grouper nervous necrosis virus	Redspotted grouper nervous necrosis virus	FJ655182.1_Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Betanodavirus;Redspotted grouper nervous necrosis virus	ACN23842	FJ655182.1	ACN23842
ACN23843__FJ655183.1	FJ655183.1_Chanos chanos nervous necrosis virus	596240	Chanos chanos nervous necrosis virus	Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Betanodavirus;unclassified Betanodavirus	FJ655183.1	unclassified Betanodavirus	unclassified Betanodavirus	FJ655183.1_Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Betanodavirus;unclassified Betanodavirus	ACN23843	FJ655183.1	ACN23843
ACN23844__FJ655184.1	FJ655184.1_Chanos chanos nervous necrosis virus	596240	Chanos chanos nervous necrosis virus	Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Betanodavirus;unclassified Betanodavirus	FJ655184.1	unclassified Betanodavirus	unclassified Betanodavirus	FJ655184.1_Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Betanodavirus;unclassified Betanodavirus	ACN23844	FJ655184.1	ACN23844
ACN23846__FJ655187.1	FJ655187.1_Lates calcarifer nervous necrosis virus	596239	Lates calcarifer nervous necrosis virus	Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Betanodavirus;Redspotted grouper nervous necrosis virus	FJ655187.1	Redspotted grouper nervous necrosis virus	Redspotted grouper nervous necrosis virus	FJ655187.1_Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Betanodavirus;Redspotted grouper nervous necrosis virus	ACN23846	FJ655187.1	ACN23846,ACN23845
AOY34610__KX575766.1	KX575766.1_Redspotted grouper nervous necrosis virus	43763	Redspotted grouper nervous necrosis virus	Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Betanodavirus	KX575766.1	undef	Betanodavirus	KX575766.1_Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Betanodavirus	AOY34610	KX575766.1	AOY34610
AEY63650__JN619370.1	JN619370.1_Macrobrachium rosenbergii nodavirus	222557	Macrobrachium rosenbergii nodavirus	Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;unclassified Nodaviridae	JN619370.1	undef	unclassified Nodaviridae	JN619370.1_Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;unclassified Nodaviridae	AEY63650	JN619370.1	AEY63650
AAT77252__AY600956.1	AY600956.1_Betanodavirus sp.	1906674	Betanodavirus sp.	Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Betanodavirus;unclassified Betanodavirus	AY600956.1	unclassified Betanodavirus	unclassified Betanodavirus	AY600956.1_Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Betanodavirus;unclassified Betanodavirus	AAT77252	AY600956.1	AAT77252,ABF13589,ABF13583
AAG09222__AF175517.1	AF175517.1_Dicentrarchus labrax encephalitis virus	45475	Dicentrarchus labrax encephalitis virus	Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Betanodavirus;unclassified Betanodavirus	AF175517.1	unclassified Betanodavirus	unclassified Betanodavirus	AF175517.1_Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Betanodavirus;unclassified Betanodavirus	AAG09222	AF175517.1	AAG09222,ARO92016,AET07135,AET07114,AET07102,AET07101,AET07100,AET07095,AET07094,CAJ30007,CAJ30003,CAJ30002,CAJ30000,CAC14838
AAF97862__AF174534.1	AF174534.1_Nodamura virus	12288	Nodamura virus	Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Alphanodavirus	AF174534.1	undef	Alphanodavirus	AF174534.1_Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Alphanodavirus	AAF97862	AF174534.1	P12871,NP_077732,AAF97862,CAA34083,AAF97862.1,NP_937959,1NOVC,1NOVB,1NOVA
BAX01501__LC180355.1	LC180355.1_Striped Jack nervous necrosis virus	35297	Striped Jack nervous necrosis virus	Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Betanodavirus	LC180355.1	undef	Betanodavirus	LC180355.1_Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Betanodavirus	BAX01501	LC180355.1	BAX01501,BAX01500,BAX01498,BAX01496,BAX01495,BAX01494,BAX01492,BAX01491,BAX01490,BAX01488,BAX01487
ACU32796__GQ342966.1	GQ342966.1_Drosophila melanogaster American nodavirus (ANV) SW-2009a	663279	Drosophila melanogaster American nodavirus (ANV) SW-2009a	Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;unclassified Nodaviridae	GQ342966.1	undef	unclassified Nodaviridae	GQ342966.1_Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;unclassified Nodaviridae	ACU32796	GQ342966.1	ACU32796
CAA25468.1__X00956.1	X00956.1_Black beetle virus	12285	Black beetle virus	Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Alphanodavirus	X00956.1	undef	Alphanodavirus	X00956.1_Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Alphanodavirus	CAA25468.1	X00956.1	P04329,NP_049329,CAA25468,CAA25468.1,2BBVC,2BBVB,2BBVA
ADX87439__JF326477.1	JF326477.1_Mugil cephalus betanodavirus	985093	Mugil cephalus betanodavirus	Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Betanodavirus;unclassified Betanodavirus	JF326477.1	unclassified Betanodavirus	unclassified Betanodavirus	JF326477.1_Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Betanodavirus;unclassified Betanodavirus	ADX87439	JF326477.1	ADX87439,ADX87431
AAB17727.1__U39876.1	U39876.1_Dicentrarchus labrax encephalitis virus	45475	Dicentrarchus labrax encephalitis virus	Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Betanodavirus;unclassified Betanodavirus	U39876.1	unclassified Betanodavirus	unclassified Betanodavirus	U39876.1_Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Betanodavirus;unclassified Betanodavirus	AAB17727.1	U39876.1	AGQ56679,AAB17727,AAB17727.1,CAJ30001,CAG27329,CAG27328,CAG27327,CAG27326,CAG27325,CAG27324,CAG27323,CAG27322,CAG27321,CAG27320,CAG27319
ABU88465__EF591366.1	EF591366.1_Barramundi nervous necrosis virus	464939	Barramundi nervous necrosis virus	Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Betanodavirus;unclassified Betanodavirus	EF591366.1	unclassified Betanodavirus	unclassified Betanodavirus	EF591366.1_Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;Betanodavirus;unclassified Betanodavirus	ABU88465	EF591366.1	ABU88465
YP_004221744__HM030973	HM030973_Santeuil nodavirus	977913	Santeuil nodavirus	Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;unclassified Nodaviridae	HM030973	undef	unclassified Nodaviridae	HM030973_Viruses;ssRNA viruses;ssRNA positive-strand viruses-no DNA stage;Nodaviridae;unclassified Nodaviridae	YP_004221744	HM030973	YP_004221744,YP_004221743,ADW54432
